content;score;sentimen
tolong bantu tidak cek riwayat transaksi menu aktivitas tidak fungsi muter muter loading tunggu jam jam tetep gak mbuka upaya sdh laku bersih chace data upgrade versi yg baru jaring bagus unistal instal ulang tetep gak hasil buka menu aktivitas mohon bantu minggu tolong dana baik;2;Tidak Bisa Dipercaya
instal apk mending mikir apk transaksi pakai jalan normal saldo hilang notifikasi bayar konfirmasi pin sya liat riwayat transaksi tidak tera bayar instal pikir;1;Tidak Bisa Dipercaya
suka bangettt aplikasi mudah guna depan transaksi aman sandi deteksi wajah aman transaksi aja sandi simpan otomatis verivikasi wajah nya lebihh aman;5;Bisa Dipercaya
data seluler pribadi muncul tulis tidak koneksi internetkoneksi internet terputuspadahal kuota gimana transaksi data seluler pribadi lagi tapi pakai hospotwifi;4;Tidak Bisa Dipercaya
hai min kasih verifikasi wajah udah kali coba cahaya terang lampu tetep sajah hasil nya nggak alas cahaya tolong perbaikin udah aplikasi dana mudah transfer moga mimin dana;5;Bisa Dipercaya
aplikasi dana parah tombol kirim teman tidak parah hapus instal hapus instal muncul menu kirim teman nya parah parah tolong baik program nya klu kirim teman ewallet gmna;1;Tidak Bisa Dipercaya
aplikasi gak bug cs gak becus sulit aplikasi data udah nya simple bikin ribet contoh kode otp gak kirim sms nomor aktif lapor ganti nomor sulit tidak rekomendasi aplikasi;1;Tidak Bisa Dipercaya
sdh nyaman pakai aplikasi initetapi saldo sdh kali potong complaincs ny bilang transaksi nya normalpin yg tausaya tdk klik tautantdk prnah terima otpdan transaksi hp sdg charge aplikasi nya letak sembunyi file yg jrg bukajd aplikasi buka tdk sengaja;1;Tidak Bisa Dipercaya
sih amantapi kala transfer hadap kn nya hilang koneksipadahal data kenceng wifitetap ajah susahmalah atur uninstal download bisainti nya mh susah koneksi lot;5;Tidak Bisa Dipercaya
udah sebenere aplikasi dana tu aplikasi dompet digital bagus cuman ya banget eror eror ga sedia alternatif media saran hubung cs bingung kontak cs medsos ga balas kalo emang antre pesan saran sedia fitur chat bot informasi antre cs guna harap terimakasih;4;Bisa Dipercaya
tolong bantu tidak cek riwayat transaksi menu aktivitas tidak fungsi muter muter loading tunggu jam jam tetep gak mbuka upaya sdh laku bersih chace data upgrade audah jaring bagus unistal instal ulang tetep gak hasil buka menu aktivitas mohon bantu minggu sedih;2;Tidak Bisa Dipercaya
kesini dana ngaco update parah bug gak tarik tunai alfamart krn gak muncul logo tarik tunai logo reward hilang atur profil gak muncul parah taransaksi susah lambat simpul gak update kalo ancur aplikasi;1;Tidak Bisa Dipercaya
error riwayat transaksi hilang transaksi tidak buka detail transaksi tf uang juta tiba error buka detail transakai chat ana admin langsung tambah bintang riwayat transaksi;1;Tidak Bisa Dipercaya
aplikasi bagus bantu transaksi bayar kendala alami kait bayar aplikasi spotify harap dana atas cepat lapor rasa balas pesan bot tidak masalah alami;2;Tidak Bisa Dipercaya
maaf bangetttt kasih bintang aplikasi bagus mudah transaksi kecewa uang hilang hilang tidak riwayat bayar apa hilang riwayat bayar ga mana uang kirim bayar aplikasi apa bayar aplikasi belah aplikasi dana uda coba kembali uang tidak uang harap depan aplikasi;2;Tidak Bisa Dipercaya
dana rasa sistem berat bugnya guna android bawah lot tolong developer baik guna android bawah apk dana nyaman terimakasih;4;Tidak Bisa Dipercaya
aplikasi nya ya jelek bangat kemarin keluh tidak respon sulit nomor hp sengaja coba login akun cepat tolong min keluh ttg lupa pin tsb butuh saldo pin tp dana sengaja tidak masuk akun payah banget kecewa aplikasi gak deh;2;Tidak Bisa Dipercaya
utk mudah transaksi aku bagus perangkat hp tidak download bukti detail transaksi riwayat aktivitas tdk buka udah coba sprti hapus cache update hapus reinstall apl ttp ga jd ribet klo nunjukin bukti transaksi krn bukti detail tdk buka;4;Bisa Dipercaya
apan bayar kali tarik saldo langgan bayar tarik kelar claim tari tarik saldo dah kali ya;1;Tidak Bisa Dipercaya
th kali kecewa saldo hilang lumayan lapor uang tidak dgn alas tidak penuh kriteria guna dana ptotaction apapin transaksi scan wajah pajang akun retas tidak bergunaterima kasih kekecewaanya;1;Tidak Bisa Dipercaya
susah upgrade internet bagus dokumen foto selfi koneksi internet aplikasi dana yg koneksi internet jelek aplikasi yg lancar ngobrol dg cs error coba bantu klo nggak uninstall update trus kualitas;2;Tidak Bisa Dipercaya
ga apa tibatiba kena hack ya saldo sih aman emg ga eh ktp nya masuk org kalo milik ngelakuin pindah dana notif pemberitahuan aman notif ga tibatiba ga premium bikin lapor lambat menit bales aja langsung putus koneksi ya gw ngetik anjir sabar ga sih agen kadang suka lot kasih tau nyambung nya yg tolol;1;Tidak Bisa Dipercaya
aplikasi dana skarang potonganbahkan topup aja potong dngan transaksi udah kena biaya transfer untk isi dana aja bayar nggak murah untk patongan kali ngisi saldo saran untk biaya transaksi nggak apaapa tpi klw rendah biaya biaya potong untk isi saldo dana klw nggak krna nasabah dana berat;2;Tidak Bisa Dipercaya
tidak loginsetiap pasu pin verifikasi wajahaplikasi nya mental terussaya carabahkan hapus aplikasi nya download berkalatapi tidak loginsangat kecewa tolong sangkut baik lagiterima kasih;1;Tidak Bisa Dipercaya
tidak buka riwayat transaksi muter update danamenghapus data sampi unistall nya baik tks;1;Tidak Bisa Dipercaya
gk upgrade premium alas aplikasi foto kualitas kamera bagus ana tidak guna bantu hapus aja bantu apk jelek kualitas nya tidak layak pakai bintang upgrade akun jd premium;1;Tidak Bisa Dipercaya
tidak upgrade dana premium lengkap data sesuai ktptapi tidak valid mohon jasa jelas saldo dana transaksi gak transaksi apapunsaldo hilang;1;Tidak Bisa Dipercaya
kurang bintang nggak login notifikasi jaring masalah jaring bagus reinstall nggak masuk notifikasi tolong baik konsumen tidak pindah apk;3;Tidak Bisa Dipercaya
akhirakhir dana tidak aman hilang uang gx transaksilangganan apa tidak langgan transaksi tampa pemberitahuan saran transaksi pemberitahuan;4;Tidak Bisa Dipercaya
ulang kemaren kirim saldo tidak kirim ndak kembali pemberitahuan ehh sekarangg tf no rek bank yg tulis sukses masuk rek tuju ehh malahh yg udah masuk duluan jam set lho sampe jam nggak ubah udah chat ana cs nya suruh hubung bank bang ecek rekening tdk riwayat transaksi yg nunggu banget baik selesai transaksi;2;Tidak Bisa Dipercaya
maka aplikasi muas ko notifikasi dana nya delay selesai transfer ga notifikasi notifikasi jam telah tolong baik apk nya biar tarik maka apk;5;Tidak Bisa Dipercaya
dana bug uang masuk dana buka nominal tidak liat wlaupun direfresh terus aplikasi dana buka liat nominal jengkel takut karna liat uang tidak bug aplikasi dana bikin pusing cepat tambah lambat tq;5;Tidak Bisa Dipercaya
aplikasi gak aman udah pakai dana saldo bayar gak pemberitahuan verifikasi guna mohon baik sistem aman saldo gk tau uang tidak;1;Tidak Bisa Dipercaya
duit ilang malam gitu bayar terabox aktivitas gak download terabox ditilep segitu solusi yg guna kalo pin saldo hilang cek email dana tidak keluar dana bulan;1;Tidak Bisa Dipercaya
susah udah usang buat pakai sim gimana solusi dana parah dana upgrade aja upgrade aplikasi;1;Tidak Bisa Dipercaya
tidak buka aplikasi paket data wifi aplikasi dana data buka aplikasi ganti perdana xl axis tri telkomsel indosat bawah tulis koneksi internetmu putus nih;2;Tidak Bisa Dipercaya
kecewa pas narik saldo dana pas liat saldo saldo gak pas cek transaksi transfer bukalapak gak ngapain gak transaksi apa buka lapak tp ko transaksi dri dana nya yg aneh lg gak ngapain potong tolong sistem;1;Tidak Bisa Dipercaya
ribet amatmasa pindah saldo aja susah harus upgrade premium saldo tahan aplikasi ininomor hp duabikin pusing aja nihyang non premium sulit transaksisaldo tahan saldo tahandi banget upgrade premiumnyesel banget gua download aplikasi;1;Tidak Bisa Dipercaya
aman dana sungguh tdi siang telpon mengatasnamakan dana paylatter panggil wa saldo lngsung kurang cek aktivasi transaksi masuk hotel murah pdahal ndak transfer otomatis motong saldo tuju yg akun aman;2;Tidak Bisa Dipercaya
nyesek banget tbtb uang potong gak masukin pin langgan apk konfirmasi masukin pin dlu gak sih kadang aja gatau klik langgan potong aja bayar nominal lumayan tbtb potong nya konfirmasi dlu minimal masukin pin langgan;1;Tidak Bisa Dipercaya
bingung daftar menjdi premium sya foto ktp wajah tpi mintak terang lgi pasport kk sim sya tidak pasport sim kk lebar jdi tidak nmpak jls karna ambil foto nya sgt tolong muda daftar uang sya jdi tidak ambil aplikasih dana;2;Tidak Bisa Dipercaya
gak gagal hbs gak buka ngalami pdhal minggu br buka gak bisaa gagal update yak buka;1;Tidak Bisa Dipercaya
semenjak fitur upgrade express pay bayar debit bni sayajadi susah transaksi karna upgrade express pay dulusedangkan gak upgrade karnakan no terdaptar bni nya rusak gak cs danagak tanggap lanjutpadahal fitur itusemuanya lancar jaya kendalakenapa beginihadeh;2;Tidak Bisa Dipercaya
teman transfer gopay dana status transaksi apk gopay hasil bukti transaksi apk dana saldo tidak tambah jam transfer apk gopay apk dana proses tidak menit pesan notifikasi gopay masuk wa nomor kait apk dana tolong selesai masalah sdh bolak pusat bantu nggak hasil jujur kecewa aplikasi dana;1;Tidak Bisa Dipercaya
lihat komentar kasus data tidak kendala koneksi tidak kecuali pakai hotspotwifi gak sperti tolong baik terimakasih;1;Tidak Bisa Dipercaya
riwayat batal ngga komplen cc ngga dpet solusi isi plsa transaksi yg ngga batal itupdhal transaksi udh habis tp ngga klik batalmau isi plsa nominal yg batal eh transaksi isi plsa jd ngga sumpah emosingga dapet solusisemua saran dri cs udh cobattp aja ngga;1;Tidak Bisa Dipercaya
buruk tdk muas rugi sy akun milik sy seseorg buka perangkat alhasil saldo sy hilang transaksi yg ay yg un instal kau dana ana apa moga lekas hilang dr playstore;1;Tidak Bisa Dipercaya
pkai dana ok upgrade premium timbul suruh upgrade ulang ulang ulang dg akun sdh dipakaiturun levelpremium gagal dll upgrade hasil coba coba layan yg baik utk kecewa ksh bintang aja krn kecewa;1;Tidak Bisa Dipercaya
ngatur aman aja gak kali kali cobak gk saran dana coba tpi ttep gk sayang sistem aman yg eror;1;Tidak Bisa Dipercaya
sistem buruk masalah payment qris transfer wallet coba riset akun tidak login karna sistem masalah;1;Tidak Bisa Dipercaya
benar suka banget mengunakan dana alat transaksi pengunaan nya mudah cepat alami transfer uang dana seabank transaksi hasil uang tidak masuk jam tunggu tidak uang yg masuk kecewa;4;Bisa Dipercaya
semenjak update ulang transaksi lot ngecek bayar susah buka apl tidak data nya internet cek lancar kendala apa transaksi hasil ikut lot bagi cek lapor hasil nya tolong ya min benah kualitas layan nya terima kasih;2;Tidak Bisa Dipercaya
semenjak terupdate akun kirim bukti transaksi lalod min sdh diupdate terbarujaringan stabil bagi bukti transaksi berputarputar loading tidak dana bagus dana sebelm terupdate dri yg skrng;2;Tidak Bisa Dipercaya
aneh gampang banget org login pake aman tetep duit gua ilang pas masuk gabisa transaksi aja sinyal lancar jaya hadeh tolong improve;1;Tidak Bisa Dipercaya
udah tahun menggunakany alhamdulillah ga kendala manfaat bantu trimakasih dana depan loading lambat ga harap maklum karna guna tambah juta klaien dampak pd servernya selebihy tdk good job;5;Bisa Dipercaya
semenjak diupdate performa aplikasi turun kendala lot contoh simple kelas hp gaming bagi hasil transaksi stuck loading cs devlpr dana keluh saran ganti koneksi jaringanhapus cache uninstall dll udah coba nihil komplain jawab gitu aja dana anak nama;1;Tidak Bisa Dipercaya
kendala investasi emas estimasi untung ga update harga pasar emas udah udah kontak cs ga solutif tampil ui nya total invest pas masuk beda hadeh;1;Tidak Bisa Dipercaya
buka aplikasi cek riwayat suka eror gak muncul listnya close app login berkalikali listnya aplikasi berat signal aman buka aplikasi jenis;1;Tidak Bisa Dipercaya
aplikasi jelek proses lot jaring kenceng device dukung lot tf lot bayar apa lot lot tolong baik kali tf gabisa klik nomor kontak tf alias ngelag tolong baik;1;Tidak Bisa Dipercaya
buruk dana coba masuk akun ku mudah sekalimalah transaksi tidak kenal tetep tuju alhasil saldo dana hilangminta kembali gk nyesel banget simpan uang dana suruh upgrade premium gagal mudah susah;1;Tidak Bisa Dipercaya
ya transaksi bagi hasil transaksi menu bagi nya tidak muncultidak bagi ribet screenshoot ngasih bukti transfer tolong baik sangan ganggu komplain live chat ribet nya ampun;5;Tidak Bisa Dipercaya
dompet digital transaksi pulsa mohon tingkat proses transaksi pulsa terkadang alami pemrosesan transaksi pulsa dompet digital proses transaksi butuh proses transaksi;1;Tidak Bisa Dipercaya
tulis untungrugi emas tidak sesuai aslinyapadahal untung tulis tulis total investasi emas jg beda halaman menu sayakalau menu total pas klik total voucher tidak berfungsipadahal minimal belanja udah sesuai kadaluarsa;4;Tidak Bisa Dipercaya
komplain main cs nelpon cs selesai komplain hubung nelpon komplain kasih data yg emaildi bilang salah langgan yg nomor yg daftar kirim bukti email kait minta no yg daftar al hasil ngurus komplain yg kali telpon cs selesai chat ana;1;Tidak Bisa Dipercaya
kayak aplikasi dana gak fitur notifikasi ya kalo uang masuk gak notifikasi fitur notifikasi hilang baru aplikasi hapus data restart hp kemarin gak buka riwayat transaksi;1;Tidak Bisa Dipercaya
saldo hilang klik link tidak terima sms telpon emang tidak layak dompet tidak selesai transaksi masuk pin sukses transaksi masuk pin admin tidak beres aplikasi;1;Tidak Bisa Dipercaya
aplikasi baguss tp semenjak update susah transaksi kalo pake kuota pake kartu indosat kuota tp kalo transaksi tulis tidak koneksi internet kalo luar susah kirim uang pake wifi transaksi;4;Bisa Dipercaya
aplikasi tolol tidak masuk akun nomor telepon tulis nomor telepon indonesia digit nomor telepon akun udah dipake provider kontak layan konsumen susah ga nomor email langsung ana ana ga akses kalo ga masuk aplikasi;1;Tidak Bisa Dipercaya
yah kendala proses coba ya nunggu upgrade premium sulit ya udah make dana thn sekian ganti id ktp ktp hapus upgrade ktp tidak daftar dukcapil cek dukcapil dekat nik aman aman aja sesuai verifikasi aplikasi bis;2;Tidak Bisa Dipercaya
yg pake apk hilang saldo juta tidak kompensasi dana transaksi yg ngga pake pin vermuk tp transaksi hasil yg kecewa aman tp bobol orang ngga kasih kode otp macam yg bau tipu;1;Tidak Bisa Dipercaya
haduh malem jam an transfer temen ngak tolong baik apk ny tulis ups tidak internet coba ya paket teman kirim tolong baik terimakasih;1;Tidak Bisa Dipercaya
download aplikasi pikirpikir susah upgrade tidak premium susah segi bayar tranfer pakai beli pulsa token layan atas buruk upgrade premium tidak jelas kirim email telfon cs nya langsung tidak bagus;1;Tidak Bisa Dipercaya
kecewa sdh transaksi beli token listrik nomor token tdk jg kunjung komplain chat ana tdk progres komplain telpn cs jg tdk follow up mohon ganti rugi beli token listrik;1;Tidak Bisa Dipercaya
buruk tidak upgrade premium udah aja coba berkalikali tetep ga data nay sesuai ktp tetep aja salah klik ga tau kesalahanya mana udah ulang tetep gitu udah coba hapus data apk nya saldo kurang apk sampah udah install apk ni apk wallet bagus mending langsung pakai banking aja;1;Tidak Bisa Dipercaya
isi email reksadana daftar tidak tekan sulit cantum email keyboard tidak muncul bug moga baik;4;Tidak Bisa Dipercaya
aplikasi uang digital the best sngat manfaat tinggal safety kirim klo no tidak daftar dana gak bsa trima transfer bgtu untung no sendri yg nya hehehhe oya abis upgrade gak bsa buka danapoly langsung mental aplikasi nya;3;Tidak Bisa Dipercaya
saldo potong otomatis tahu sayapadahal ga meng aktif bayar otomatis parah gak pemberitahuan dana udah sya setting verifikasi pin kalo transaksi gmna aman ny;1;Tidak Bisa Dipercaya
susah update dana premium nya pakai ktp engga coba opsi pakai sim input data saldo uda potong tp pas tf engga suruh upgrade dana premium gimana apk nya mudah tp susah komplain cs selesai cakap solusi obrol tinggal ngulang engga;1;Tidak Bisa Dipercaya
gmn yak ko login pakai no yg aktif no indo no tp gk login muncul tulis periksa no hp km no indo yg bener update nomor prabayar indonesia dikiria no indo kocaq;2;Tidak Bisa Dipercaya
saldo tibatiba potong rp ga transaksi tolong banget balikin saldo verifikasi akun tibatiba potong verifikasi langgan apa ga;2;Tidak Bisa Dipercaya
saldo rb tidak transfer siapa pas ambil uang nya tidak hilang transaksi tranfer retas pakai yg premium double aman kaya gin kecewa aman gin kecewa berat;1;Tidak Bisa Dipercaya
kasih bintang karna dana yg klo buka lot banget gak kaya langsung cepet buka hp ram internal gede heran nya buka dana serasa lot banget yg bikin lot karna dana klo buka muncul gampar animasi yg gerak nya lot update nya enak lot kembang aplikasi tolong aplikasi dana gerah baik guna enak;3;Tidak Bisa Dipercaya
upgrade premium susah gantinke nomor susah top up gampang tp dipake susah uang perangkap sdh coba upgrade gk gk cs yg bantu kapok pakai dana;1;Tidak Bisa Dipercaya
update terakir bug aplikasi dana aplikasi jalan latar belaka hp lot cepat panas batrai cepat habis ngerasa hp cepat panas batrai cepat habis hp lot cuba henti paksa aplikasi dana unistal aja;1;Tidak Bisa Dipercaya
tidak bantu layan data update paksa henti ku laku restart hp tidak dana mudah sulit ginakan;1;Tidak Bisa Dipercaya
tolong baik min udah ga transaksi transfer bank habis klik bayar muter muter kayak nggak sinyal sinyal penuh kemarin habis update aplikasi opsi tarik tunai nggak;4;Tidak Bisa Dipercaya
kecewa berat udah kali transaksi buka menu aktvitaschatbot gk bisapusat bantu gk buka eror apk inimening uninstal aja menuhin memori doang;1;Tidak Bisa Dipercaya
berturutturut lapor tidak upgrade premium kirim data foto ktp kk selfie tidak selesai cs lempar tim resolusi tidak jelas progress problem solving klaim muncul page help center tidak muncul apaapa tidak niat iseng canda dana anggap ganggu;1;Tidak Bisa Dipercaya
tangan selesai lambat keluh tutup akun qr bisnis hasil muas acap kali komplen suruh lihat pusat bantu layan buruk selesai etik balas menit cepat alias customer service tutup chat obrol saking minim selesai inti buruk lambat;1;Tidak Bisa Dipercaya
aplikasi dana mudah transaksi transfer via bank top up walet transaksi qris guna puas aplikasi kadang kendala jalan normal sayang tidak nikmat fitur dana dana cicil;5;Bisa Dipercaya
aplikasi burukuang beku tidak transaksi apa berualng kali upgread tolak tidak cs yg tidak solusi apa uang lumayan tidak transaksi tolong baik guna;1;Tidak Bisa Dipercaya
pake aps transaksi apa lancar bagus kalo top up money loading masalah terupdate saldo masuk nya tuh butuh tolong ya saldo mohon proses karna masuk kartu money nya kemarin;3;Tidak Bisa Dipercaya
sinyal bagus suka lot loadingnya lumayan makan tolong perhati server systemnya bantu ekonomi guna tolong tambah fitur pinjam dana tambah lg guna thanks;4;Bisa Dipercaya
overall aplikasi ok uinya lumayan lot pas masuk kategori cuman aneh dana jalan latar sampe makan cpu kasih bintang dlu;1;Tidak Bisa Dipercaya
